Id,Name,Type,Family,Lead connection,follower connection,Source event / lesson / workshop,Link to Notes,Link to Video,Link to Practice Video
1,uphold basic,Move,Basic,,,,,,
2,downhold basic,Move,Basic,,,,,,
3,ad libs,Move,,,,,,,
4,paddles,Move,,,,,,,
5,progressives,Move,,,,,,,
6,serpentines,Move,,,,,,,
7,drags,Move,,,,,,,
8,triple step drags,Move,,,,,,,
9,lollies,Move,,,,,,,
10,lollies with outside turn,Move,,,,,,,
11,come around,Move,Basic,,,,,,
12,toss out,Move,toss out,,,,,,
13,reverse toss out,Move,,,,,,,
14,behind the back toss out,Move,,,,,,,
15,off hand toss out,Move,,,,,,,
16,handshake toss out,Move,,,,,,,
17,double hand toss out,Move,,,,,,,
18,texas tommy,Modifier,,,,,,,
19,maxi slide,Move,,,,,,,
20,hal's roll,Move,,,,,,,
21,texas tommy lollies,Modifier,lollies,,,,,,
22,elbow catch,Modifier,,,,,,,
23,sailor shuffles,Move,,,,,,,
24,out and in,Move,out and in,,,,,,
25,out and in rotational,Move,out and in,,,,,,
26,out and in down the line,Move,out and in,,,,,,
27,out and in stop,Move,,,,,,,
28,out and in stop bring back in,Move,,,,,,,
29,out and in stop follow turn,Move,,,,,,,
30,out and in stop follow turn and lead turn,Move,,,,,,,
31,out and in stop follow lead slide,Move,,,,,,,
32,out and in stop follow lead pivot down line,Move,,,,,,,
33,out and in stop follow lead triple step pivot redirect follow,Move,,,,,,,
34,out and in stop with down up,Move,,,,,,,
35,pivots,Move,,,,,,,
36,back pivots,Move,,,,,,,
37,back pivot exit with BTB tossout,Move,,,,,,,
